Company/Brand,HeadQuarter,Sector,What it does,Amount($),Funding Year
TheCollegeFever,Bangalore,"Brand Marketing, Event Promotion, Marketing, Sponsorship, Ticketing","TheCollegeFever is a hub for fun, fiesta and frolic of Colleges.",250000.0,2018
Happy Cow Dairy,Mumbai,"Agriculture, Farming",A startup which aggregates milk from dairy farmers in rural Maharashtra.,584885.3888567373,2018
MyLoanCare,Gurgaon,"Credit, Financial Services, Lending, Marketplace",Leading Online Loans Marketplace in India,950438.7568921981,2018
PayMe India,Noida,"Financial Services, FinTech",PayMe India is an innovative FinTech organization which offers short term financial suport to corporate employees.,2000000.0,2018
Eunimart,Hyderabad,"E-Commerce Platforms, Retail, SaaS",Eunimart is a one stop solution for merchants to create a difference by selling globally.,1.0,2018
Hasura,Bangalore,"Cloud Infrastructure, PaaS, SaaS","Hasura is a platform that allows developers to build, deploy, and host cloud-native applications quickly.",1600000.0,2018
Tripshelf,Kalkaji,"Internet, Leisure, Marketplace",Tripshelf is an online market place for holiday packages.,233954.1555426949,2018
Hyperdata.IO,Hyderabad,Market Research,Hyperdata combines advanced machine learning with human intelligence.,731106.7360709216,2018
Freightwalla,Mumbai,"Information Services, Information Technology",Freightwalla is an international forwarder thats helps you manage supply chain by providing online tools including instant quotations.,1.0,2018
Microchip Payments,Bangalore,Mobile Payments,Microchip payments is a mobile-based payment application and point-of-sale device,1.0,2018
BizCrum Infotech Pvt. Ltd.,Delhi,"B2B, Shoes",Building Transactionary B2B Marketplaces,1.0,2018
Emojifi,Bangalore,Internet,"Emojifi is an app that provides live emoji, stickers & GIFs suggestions based on the typed words across chat platforms.",1.0,2018
Flock,India,"Apps, Collaboration, Developer Platform, Enterprise Software, Messaging, Productivity Tools, Video Chat",Flock is a real-time messaging and collaboration app for teams that speeds up and simplifies communication and boosts productivity.,1.0,2018
Freshboxx,Hubli,Food Delivery,"Freshboxx is incubated at Sandbox Startups, a unit of the Deshpande Foundation.",1.0,2018
Wide Mobility Mechatronics,Bangalore,Industrial Automation,Wide Mobility Mechatronics is a Private Company limited by Shares,1.0,2018
Pitstop,Bangalore,"Automotive, Search Engine, Service Industry",Pitstop offers general repair and maintenance services for cars through its doorstep service vehicles.,1462213.4721418433,2018
Mihuru,Mumbai,"Finance, Internet, Travel",Mihuru is an online platform which gives micro loans for air travel .,150000.0,2018
Fyle,Bangalore,"Accounting, Business Information Systems, Business Travel, Finance, SaaS",Fyle is an intelligent expense management platform for enterprises.,1100000.0,2018
AppWharf,Delhi,"Artificial Intelligence, Product Search, SaaS, Service Industry, Software",Appwharf is an intelligent assistant that helps find you the best-fit SaaS for your business.,1.0,2018
Antariksh Waste Ventures Pvt ltd,Chennai,"Internet of Things, Waste Management",Waste Management for Smart Cities,7311.067360709216,2018
Cogoport,Mumbai,"Air Transportation, Freight Service, Logistics, Marine Transportation",Cogoport is a platform that provides freight buying industry with spot rates and bidding process for freight buyers.,6000000.0,2018
PaisaDukan,Mumbai,Financial Services,A P2P lending marketplace platform,650000.0,2018
Sleepy Owl Coffee,Delhi,Food and Beverage,"Makers of a signature coffee that's exceptional in taste. It's super easy to brew, requires no equipment & ships to your door.",511774.7152496451,2018
BlueJack,Delhi,Autonomous Vehicles,Delhi-based online used vehicles marketplace.,935816.6221707796,2018
PregBuddy,Bangalore,"Enterprise Software, Health Care, Hospital, Parenting, Personal Health, SaaS",PregBuddy is a smart connected care platform for expecting mothers.,1.0,2018
AgNext Technologies,Mohali,"Agriculture, Analytics, Big Data, Farming",AgNext is an agricultural sensing and solutions company focused on building data-driven solutions for agricultural stakeholders,1.0,2018
Pando,Chennai,"Logistics, Supply Chain Management",A startup which digitizes logistics operations for Fortune 500 companies.,2000000.0,2018
Mintifi,Mumbai,"Financial Services, Lending",Online lending startup based in Mumbai.,2000000.0,2018
Carcrew,Mumbai,"Automotive, Marketplace, Online Portals",India's Online Auto Repair Marketplace,2000000.0,2018
NicheAI,Hyderabad,Artificial Intelligence,Early stage Artificial Intelligence (AI) start up.,1.0,2018
